Campaign,Ad Group,Keyword,Match Type
"IJM Worx - Custom Pools Search","Pool Builders","pool builders el paso","Exact"
"IJM Worx - Custom Pools Search","Pool Builders","el paso pool builders","Exact"
"IJM Worx - Custom Pools Search","Pool Builders","swimming pool builders el paso tx","Exact"
"IJM Worx - Custom Pools Search","Pool Builders","pool builders in el paso tx","Exact"
"IJM Worx - Custom Pools Search","Pool Builders","pool builder el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Builders","swimming pool builders el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Builders","pool builders near me","Phrase"
"IJM Worx - Custom Pools Search","Pool Builders","best pool builders el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Companies","pool companies el paso","Exact"
"IJM Worx - Custom Pools Search","Pool Companies","pool contractor el paso","Exact"
"IJM Worx - Custom Pools Search","Pool Companies","pool companies el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Companies","swimming pool contractor el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Companies","pool contractors near me","Phrase"
"IJM Worx - Custom Pools Search","Pool Companies","pool company el paso","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","custom pools el paso","Exact"
"IJM Worx - Custom Pools Search","Custom & Inground","inground pool builder el paso","Exact"
"IJM Worx - Custom Pools Search","Custom & Inground","custom pool builder el paso","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","inground pools el paso","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","custom inground pool","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","build a pool el paso","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","gunite pool el paso","Phrase"
"IJM Worx - Custom Pools Search","Custom & Inground","new pool construction el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Design","pool design el paso","Exact"
"IJM Worx - Custom Pools Search","Pool Design","pool design el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Design","custom pool design","Phrase"
"IJM Worx - Custom Pools Search","Pool Design","3d pool design","Phrase"
"IJM Worx - Custom Pools Search","Pool Design","pool designer el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Design","swimming pool design el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","pool financing el paso","Exact"
"IJM Worx - Custom Pools Search","Pool Financing","pool financing el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","pool loans el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","finance a pool el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","affordable pools el paso","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","pool payment plans","Phrase"
"IJM Worx - Custom Pools Search","Pool Financing","monthly payment pool","Phrase"
