Campaign,Keyword,Match Type
"IJM Worx - Outdoor Living Search","jobs","Phrase"
"IJM Worx - Outdoor Living Search","careers","Phrase"
"IJM Worx - Outdoor Living Search","hiring","Phrase"
"IJM Worx - Outdoor Living Search","now hiring","Phrase"
"IJM Worx - Outdoor Living Search","salary","Phrase"
"IJM Worx - Outdoor Living Search","wage","Phrase"
"IJM Worx - Outdoor Living Search","apprentice","Phrase"
"IJM Worx - Outdoor Living Search","apprenticeship","Phrase"
"IJM Worx - Outdoor Living Search","employment","Phrase"
"IJM Worx - Outdoor Living Search","intern","Phrase"
"IJM Worx - Outdoor Living Search","how to become","Phrase"
"IJM Worx - Outdoor Living Search","contractor license","Phrase"
"IJM Worx - Outdoor Living Search","license class","Phrase"
"IJM Worx - Outdoor Living Search","training course","Phrase"
"IJM Worx - Outdoor Living Search","trade school","Phrase"
"IJM Worx - Outdoor Living Search","diy","Phrase"
"IJM Worx - Outdoor Living Search","do it yourself","Phrase"
"IJM Worx - Outdoor Living Search","how to build","Phrase"
"IJM Worx - Outdoor Living Search","how to make","Phrase"
"IJM Worx - Outdoor Living Search","tutorial","Phrase"
"IJM Worx - Outdoor Living Search","plans","Phrase"
"IJM Worx - Outdoor Living Search","blueprint","Phrase"
"IJM Worx - Outdoor Living Search","build your own","Phrase"
"IJM Worx - Outdoor Living Search","kit","Phrase"
"IJM Worx - Outdoor Living Search","kits","Phrase"
"IJM Worx - Outdoor Living Search","cheap","Phrase"
"IJM Worx - Outdoor Living Search","cheapest","Phrase"
"IJM Worx - Outdoor Living Search","discount","Phrase"
"IJM Worx - Outdoor Living Search","bargain","Phrase"
"IJM Worx - Outdoor Living Search","low cost","Phrase"
"IJM Worx - Outdoor Living Search","used","Phrase"
"IJM Worx - Outdoor Living Search","second hand","Phrase"
"IJM Worx - Outdoor Living Search","clearance","Phrase"
"IJM Worx - Outdoor Living Search","wholesale","Phrase"
"IJM Worx - Outdoor Living Search","liquidation","Phrase"
"IJM Worx - Outdoor Living Search","above ground","Phrase"
"IJM Worx - Outdoor Living Search","aboveground","Phrase"
"IJM Worx - Outdoor Living Search","intex","Phrase"
"IJM Worx - Outdoor Living Search","inflatable","Phrase"
"IJM Worx - Outdoor Living Search","kiddie","Phrase"
"IJM Worx - Outdoor Living Search","kiddie pool","Phrase"
"IJM Worx - Outdoor Living Search","stock tank","Phrase"
"IJM Worx - Outdoor Living Search","plastic pool","Phrase"
"IJM Worx - Outdoor Living Search","portable pool","Phrase"
"IJM Worx - Outdoor Living Search","pop up pool","Phrase"
"IJM Worx - Outdoor Living Search","frame pool","Phrase"
"IJM Worx - Outdoor Living Search","repair","Phrase"
"IJM Worx - Outdoor Living Search","repairs","Phrase"
"IJM Worx - Outdoor Living Search","pool repair","Phrase"
"IJM Worx - Outdoor Living Search","pool service","Phrase"
